# emoji-sequences.txt
# Date: 2019-10-12, 21:18:36 GMT
# © 2019 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 12.1
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following: 
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       Emoji_Flag_Sequence
#       Emoji_Tag_Sequence
#       Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji              ; watch                                                          # E2.0   [2] (⌚..⌛)
26FA          ; Basic_Emoji              ; tent                                                           # E2.0   [1] (⛺)
26FD          ; Basic_Emoji              ; fuel pump                                                      # E2.0   [1] (⛽)
2705          ; Basic_Emoji              ; check mark button                                              # E2.0   [1] (✅)
270A..270B    ; Basic_Emoji              ; raised fist                                                    # E2.0   [2] (✊..✋)
2728          ; Basic_Emoji              ; sparkles                                                       # E2.0   [1] (✨)
274C          ; Basic_Emoji              ; cross mark                                                     # E2.0   [1] (❌)
274E          ; Basic_Emoji              ; cross mark button                                              # E2.0   [1] (❎)
2753..2755    ; Basic_Emoji              ; question mark                                                  # E2.0   [3] (❓..❕)
2757          ; Basic_Emoji              ; exclamation mark                                               # E2.0   [1] (❗)
2795..2797    ; Basic_Emoji              ; plus sign                                                      # E2.0   [3] (➕..➗)
27B0          ; Basic_Emoji              ; curly loop                                                     # E2.0   [1] (➰)
27BF          ; Basic_Emoji              ; double curly loop                                              # E2.0   [1] (➿)
2B1B..2B1C    ; Basic_Emoji              ; black large square                                             # E2.0   [2] (⬛..⬜)
2B50          ; Basic_Emoji              ; star                                                           # E2.0   [1] (⭐)
2B55          ; Basic_Emoji              ; hollow red circle                                              # E2.0   [1] (⭕)
1F004         ; Basic_Emoji              ; mahjong red dragon                                             # E2.0   [1] (🀄)
1F0CF         ; Basic_Emoji              ; joker                                                          # E2.0   [1] (🃏)
1F18E         ; Basic_Emoji              ; AB button (blood type)                                         # E2.0   [1] (🆎)
1F191..1F19A  ; Basic_Emoji              ; CL button                                                      # E2.0  [10] (🆑..🆚)
1F201         ; Basic_Emoji              ; Japanese “here” button                                         # E2.0   [1] (🈁)
1F21A         ; Basic_Emoji              ; Japanese “free of charge” button                               # E2.0   [1] (🈚)
1F22F         ; Basic_Emoji              ; Japanese “reserved” button                                     # E2.0   [1] (🈯)
1F232..1F236  ; Basic_Emoji              ; Japanese “prohibited” button                                   # E2.0   [5] (🈲..🈶)
1F238..1F23A  ; Basic_Emoji              ; Japanese “application” button                                  # E2.0   [3] (🈸..🈺)
1F250..1F251  ; Basic_Emoji              ; Japanese “bargain” button                                      # E2.0   [2] (🉐..🉑)
1F300..1F320  ; Basic_Emoji              ; cyclone                                                        # E2.0  [33] (🌀..🌠)
1F32D..1F335  ; Basic_Emoji              ; hot dog                                                        # E2.0   [9] (🌭..🌵)
1F337..1F37C  ; Basic_Emoji              ; tulip                                                          # E2.0  [70] (🌷..🍼)
1F37E..1F393  ; Basic_Emoji              ; bottle with popping cork                                       # E2.0  [22] (🍾..🎓)
1F3A0..1F3CA  ; Basic_Emoji              ; carousel horse                                                 # E2.0  [43] (🎠..🏊)
1F3CF..1F3D3  ; Basic_Emoji              ; cricket game                                                   # E2.0   [5] (🏏..🏓)
1F3E0..1F3F0  ; Basic_Emoji              ; house                                                          # E2.0  [17] (🏠..🏰)
1F3F4         ; Basic_Emoji              ; black flag                                                     # E2.0   [1] (🏴)
1F3F8..1F43E  ; Basic_Emoji              ; badminton                                                      # E2.0  [71] (🏸..🐾)
1F440         ; Basic_Emoji              ; eyes                                                           # E2.0   [1] (👀)
1F442..1F4FC  ; Basic_Emoji              ; ear                                                            # E2.0 [187] (👂..📼)
1F4FF..1F53D  ; Basic_Emoji              ; prayer beads                                                   # E2.0  [63] (📿..🔽)
1F54B..1F54E  ; Basic_Emoji              ; kaaba                                                          # E2.0   [4] (🕋..🕎)
1F550..1F567  ; Basic_Emoji              ; one o’clock                                                    # E2.0  [24] (🕐..🕧)
1F57A         ; Basic_Emoji              ; man dancing                                                    # E4.0   [1] (🕺)
1F595..1F596  ; Basic_Emoji              ; middle finger                                                  # E2.0   [2] (🖕..🖖)
1F5A4         ; Basic_Emoji              ; black heart                                                    # E4.0   [1] (🖤)
1F5FB..1F64F  ; Basic_Emoji              ; mount fuji                                                     # E2.0  [85] (🗻..🙏)
1F680..1F6C5  ; Basic_Emoji              ; rocket                                                         # E2.0  [70] (🚀..🛅)
1F6CC         ; Basic_Emoji              ; person in bed                                                  # E2.0   [1] (🛌)
1F6D0         ; Basic_Emoji              ; place of worship                                               # E2.0   [1] (🛐)
1F6D1..1F6D2  ; Basic_Emoji              ; stop sign                                                      # E4.0   [2] (🛑..🛒)
1F6D5         ; Basic_Emoji              ; hindu temple                                                   # E12.1  [1] (🛕)
1F6EB..1F6EC  ; Basic_Emoji              ; airplane departure                                             # E2.0   [2] (🛫..🛬)
1F6F4..1F6F6  ; Basic_Emoji              ; kick scooter                                                   # E4.0   [3] (🛴..🛶)
1F6F7..1F6F8  ; Basic_Emoji              ; sled                                                           # E5.0   [2] (🛷..🛸)
1F6F9         ; Basic_Emoji              ; skateboard                                                     # E11.0  [1] (🛹)
1F6FA         ; Basic_Emoji              ; auto rickshaw                                                  # E12.1  [1] (🛺)
1F7E0..1F7EB  ; Basic_Emoji              ; orange circle                                                  # E12.1 [12] (🟠..🟫)
1F90D..1F90F  ; Basic_Emoji              ; white heart                                                    # E12.1  [3] (🤍..🤏)
1F910..1F918  ; Basic_Emoji              ; zipper-mouth face                                              # E2.0   [9] (🤐..🤘)
1F919..1F91E  ; Basic_Emoji              ; call me hand                                                   # E4.0   [6] (🤙..🤞)
1F91F         ; Basic_Emoji              ; love-you gesture                                               # E5.0   [1] (🤟)
1F920..1F927  ; Basic_Emoji              ; cowboy hat face                                                # E4.0   [8] (🤠..🤧)
1F928..1F92F  ; Basic_Emoji              ; face with raised eyebrow                                       # E5.0   [8] (🤨..🤯)
1F930         ; Basic_Emoji              ; pregnant woman                                                 # E4.0   [1] (🤰)
1F931..1F932  ; Basic_Emoji              ; breast-feeding                                                 # E5.0   [2] (🤱..🤲)
1F933..1F93A  ; Basic_Emoji              ; selfie                                                         # E4.0   [8] (🤳..🤺)
1F93C..1F93E  ; Basic_Emoji              ; people wrestling                                               # E4.0   [3] (🤼..🤾)
1F93F         ; Basic_Emoji              ; diving mask                                                    # E12.1  [1] (🤿)
1F940..1F945  ; Basic_Emoji              ; wilted flower                                                  # E4.0   [6] (🥀..🥅)
1F947..1F94B  ; Basic_Emoji              ; 1st place medal                                                # E4.0   [5] (🥇..🥋)
1F94C         ; Basic_Emoji              ; curling stone                                                  # E5.0   [1] (🥌)
1F94D..1F94F  ; Basic_Emoji              ; lacrosse                                                       # E11.0  [3] (🥍..🥏)
1F950..1F95E  ; Basic_Emoji              ; croissant                                                      # E4.0  [15] (🥐..🥞)
1F95F..1F96B  ; Basic_Emoji              ; dumpling                                                       # E5.0  [13] (🥟..🥫)
1F96C..1F970  ; Basic_Emoji              ; leafy green                                                    # E11.0  [5] (🥬..🥰)
1F971         ; Basic_Emoji              ; yawning face                                                   # E12.1  [1] (🥱)
1F973..1F976  ; Basic_Emoji              ; partying face                                                  # E11.0  [4] (🥳..🥶)
1F97A         ; Basic_Emoji              ; pleading face                                                  # E11.0  [1] (🥺)
1F97B         ; Basic_Emoji              ; sari                                                           # E12.1  [1] (🥻)
1F97C..1F97F  ; Basic_Emoji              ; lab coat                                                       # E11.0  [4] (🥼..🥿)
1F980..1F984  ; Basic_Emoji              ; crab                                                           # E2.0   [5] (🦀..🦄)
1F985..1F991  ; Basic_Emoji              ; eagle                                                          # E4.0  [13] (🦅..🦑)
1F992..1F997  ; Basic_Emoji              ; giraffe                                                        # E5.0   [6] (🦒..🦗)
1F998..1F9A2  ; Basic_Emoji              ; kangaroo                                                       # E11.0 [11] (🦘..🦢)
1F9A5..1F9AA  ; Basic_Emoji              ; sloth                                                          # E12.1  [6] (🦥..🦪)
1F9AE..1F9AF  ; Basic_Emoji              ; guide dog                                                      # E12.1  [2] (🦮..🦯)
1F9B0..1F9B9  ; Basic_Emoji              ; red hair                                                       # E11.0 [10] (🦰..🦹)
1F9BA..1F9BF  ; Basic_Emoji              ; safety vest                                                    # E12.1  [6] (🦺..🦿)
1F9C0         ; Basic_Emoji              ; cheese wedge                                                   # E2.0   [1] (🧀)
1F9C1..1F9C2  ; Basic_Emoji              ; cupcake                                                        # E11.0  [2] (🧁..🧂)
1F9C3..1F9CA  ; Basic_Emoji              ; beverage box                                                   # E12.1  [8] (🧃..🧊)
1F9CD..1F9CF  ; Basic_Emoji              ; person standing                                                # E12.1  [3] (🧍..🧏)
1F9D0..1F9E6  ; Basic_Emoji              ; face with monocle                                              # E5.0  [23] (🧐..🧦)
1F9E7..1F9FF  ; Basic_Emoji              ; red envelope                                                   # E11.0 [25] (🧧..🧿)
1FA70..1FA73  ; Basic_Emoji              ; ballet shoes                                                   # E12.1  [4] (🩰..🩳)
1FA78..1FA7A  ; Basic_Emoji              ; drop of blood                                                  # E12.1  [3] (🩸..🩺)
1FA80..1FA82  ; Basic_Emoji              ; yo-yo                                                          # E12.1  [3] (🪀..🪂)
1FA90..1FA95  ; Basic_Emoji              ; ringed planet                                                  # E12.1  [6] (🪐..🪕)
00A9 FE0F     ; Basic_Emoji              ; copyright                                                      # E2.0   [1] (©️)
00AE FE0F     ; Basic_Emoji              ; registered                                                     # E2.0   [1] (®️)
203C FE0F     ; Basic_Emoji              ; double exclamation mark                                        # E2.0   [1] (‼️)
2049 FE0F     ; Basic_Emoji              ; exclamation question mark                                      # E2.0   [1] (⁉️)
2122 FE0F     ; Basic_Emoji              ; trade mark                                                     # E2.0   [1] (™️)
2139 FE0F     ; Basic_Emoji              ; information                                                    # E2.0   [1] (ℹ️)
2194 FE0F     ; Basic_Emoji              ; left-right arrow                                               # E2.0   [1] (↔️)
2195 FE0F     ; Basic_Emoji              ; up-down arrow                                                  # E2.0   [1] (↕️)
2196 FE0F     ; Basic_Emoji              ; up-left arrow                                                  # E2.0   [1] (↖️)
2197 FE0F     ; Basic_Emoji              ; up-right arrow                                                 # E2.0   [1] (↗️)
2198 FE0F     ; Basic_Emoji              ; down-right arrow                                               # E2.0   [1] (↘️)
2199 FE0F     ; Basic_Emoji              ; down-left arrow                                                # E2.0   [1] (↙️)
21A9 FE0F     ; Basic_Emoji              ; right arrow curving left                                       # E2.0   [1] (↩️)
21AA FE0F     ; Basic_Emoji              ; left arrow curving right                                       # E2.0   [1] (↪️)
2328 FE0F     ; Basic_Emoji              ; keyboard                                                       # E2.0   [1] (⌨️)
23CF FE0F     ; Basic_Emoji              ; eject button                                                   # E2.0   [1] (⏏️)
23ED FE0F     ; Basic_Emoji              ; next track button                                              # E2.0   [1] (⏭️)
23EE FE0F     ; Basic_Emoji              ; last track button                                              # E2.0   [1] (⏮️)
23EF FE0F     ; Basic_Emoji              ; play or pause button                                           # E2.0   [1] (⏯️)
23F1 FE0F     ; Basic_Emoji              ; stopwatch                                                      # E2.0   [1] (⏱️)
23F2 FE0F     ; Basic_Emoji              ; timer clock                                                    # E2.0   [1] (⏲️)
23F8 FE0F     ; Basic_Emoji              ; pause button                                                   # E2.0   [1] (⏸️)
23F9 FE0F     ; Basic_Emoji              ; stop button                                                    # E2.0   [1] (⏹️)
23FA FE0F     ; Basic_Emoji              ; record button                                                  # E2.0   [1] (⏺️)
24C2 FE0F     ; Basic_Emoji              ; circled M                                                      # E2.0   [1] (Ⓜ️)
25AA FE0F     ; Basic_Emoji              ; black small square                                             # E2.0   [1] (▪️)
25AB FE0F     ; Basic_Emoji              ; white small square                                             # E2.0   [1] (▫️)
25B6 FE0F     ; Basic_Emoji              ; play button                                                    # E2.0   [1] (▶️)
25C0 FE0F     ; Basic_Emoji              ; reverse button                                                 # E2.0   [1] (◀️)
25FB FE0F     ; Basic_Emoji              ; white medium square                                            # E2.0   [1] (◻️)
25FC FE0F     ; Basic_Emoji              ; black medium square                                            # E2.0   [1] (◼️)
2600 FE0F     ; Basic_Emoji              ; sun                                                            # E2.0   [1] (☀️)
2601 FE0F     ; Basic_Emoji              ; cloud                                                          # E2.0   [1] (☁️)
2602 FE0F     ; Basic_Emoji              ; umbrella                                                       # E2.0   [1] (☂️)
2603 FE0F     ; Basic_Emoji              ; snowman                                                        # E2.0   [1] (☃️)
2604 FE0F     ; Basic_Emoji              ; comet                                                          # E2.0   [1] (☄️)
260E FE0F     ; Basic_Emoji              ; telephone                                                      # E2.0   [1] (☎️)
2611 FE0F     ; Basic_Emoji              ; check box with check                                           # E2.0   [1] (☑️)
2618 FE0F     ; Basic_Emoji              ; shamrock                                                       # E2.0   [1] (☘️)
261D FE0F     ; Basic_Emoji              ; index pointing up                                              # E2.0   [1] (☝️)
2620 FE0F     ; Basic_Emoji              ; skull and crossbones                                           # E2.0   [1] (☠️)
2622 FE0F     ; Basic_Emoji              ; radioactive                                                    # E2.0   [1] (☢️)
2623 FE0F     ; Basic_Emoji              ; biohazard                                                      # E2.0   [1] (☣️)
2626 FE0F     ; Basic_Emoji              ; orthodox cross                                                 # E2.0   [1] (☦️)
262A FE0F     ; Basic_Emoji              ; star and crescent                                              # E2.0   [1] (☪️)
262E FE0F     ; Basic_Emoji              ; peace symbol                                                   # E2.0   [1] (☮️)
262F FE0F     ; Basic_Emoji              ; yin yang                                                       # E2.0   [1] (☯️)
2638 FE0F     ; Basic_Emoji              ; wheel of dharma                                                # E2.0   [1] (☸️)
2639 FE0F     ; Basic_Emoji              ; frowning face                                                  # E2.0   [1] (☹️)
263A FE0F     ; Basic_Emoji              ; smiling face                                                   # E2.0   [1] (☺️)
2640 FE0F     ; Basic_Emoji              ; female sign                                                    # E4.0   [1] (♀️)
2642 FE0F     ; Basic_Emoji              ; male sign                                                      # E4.0   [1] (♂️)
265F FE0F     ; Basic_Emoji              ; chess pawn                                                     # E11.0  [1] (♟️)
2660 FE0F     ; Basic_Emoji              ; spade suit                                                     # E2.0   [1] (♠️)
2663 FE0F     ; Basic_Emoji              ; club suit                                                      # E2.0   [1] (♣️)
2665 FE0F     ; Basic_Emoji              ; heart suit                                                     # E2.0   [1] (♥️)
2666 FE0F     ; Basic_Emoji              ; diamond suit                                                   # E2.0   [1] (♦️)
2668 FE0F     ; Basic_Emoji              ; hot springs                                                    # E2.0   [1] (♨️)
267B FE0F     ; Basic_Emoji              ; recycling symbol                                               # E2.0   [1] (♻️)
267E FE0F     ; Basic_Emoji              ; infinity                                                       # E11.0  [1] (♾️)
2692 FE0F     ; Basic_Emoji              ; hammer and pick                                                # E2.0   [1] (⚒️)
2694 FE0F     ; Basic_Emoji              ; crossed swords                                                 # E2.0   [1] (⚔️)
2695 FE0F     ; Basic_Emoji              ; medical symbol                                                 # E4.0   [1] (⚕️)
2696 FE0F     ; Basic_Emoji              ; balance scale                                                  # E2.0   [1] (⚖️)
2697 FE0F     ; Basic_Emoji              ; alembic                                                        # E2.0   [1] (⚗️)
2699 FE0F     ; Basic_Emoji              ; gear                                                           # E2.0   [1] (⚙️)
269B FE0F     ; Basic_Emoji              ; atom symbol                                                    # E2.0   [1] (⚛️)
269C FE0F     ; Basic_Emoji              ; fleur-de-lis                                                   # E2.0   [1] (⚜️)
26A0 FE0F     ; Basic_Emoji              ; warning                                                        # E2.0   [1] (⚠️)
26B0 FE0F     ; Basic_Emoji              ; coffin                                                         # E2.0   [1] (⚰️)
26B1 FE0F     ; Basic_Emoji              ; funeral urn                                                    # E2.0   [1] (⚱️)
26C8 FE0F     ; Basic_Emoji              ; cloud with lightning and rain                                  # E2.0   [1] (⛈️)
26CF FE0F     ; Basic_Emoji              ; pick                                                           # E2.0   [1] (⛏️)
26D1 FE0F     ; Basic_Emoji              ; rescue worker’s helmet                                         # E2.0   [1] (⛑️)
26D3 FE0F     ; Basic_Emoji              ; chains                                                         # E2.0   [1] (⛓️)
26E9 FE0F     ; Basic_Emoji              ; shinto shrine                                                  # E2.0   [1] (⛩️)
26F0 FE0F     ; Basic_Emoji              ; mountain                                                       # E2.0   [1] (⛰️)
26F1 FE0F     ; Basic_Emoji              ; umbrella on ground                                             # E2.0   [1] (⛱️)
26F4 FE0F     ; Basic_Emoji              ; ferry                                                          # E2.0   [1] (⛴️)
26F7 FE0F     ; Basic_Emoji              ; skier                                                          # E2.0   [1] (⛷️)
26F8 FE0F     ; Basic_Emoji              ; ice skate                                                      # E2.0   [1] (⛸️)
26F9 FE0F     ; Basic_Emoji              ; person bouncing ball                                           # E2.0   [1] (⛹️)
2702 FE0F     ; Basic_Emoji              ; scissors                                                       # E2.0   [1] (✂️)
2708 FE0F     ; Basic_Emoji              ; airplane                                                       # E2.0   [1] (✈️)
2709 FE0F     ; Basic_Emoji              ; envelope                                                       # E2.0   [1] (✉️)
270C FE0F     ; Basic_Emoji              ; victory hand                                                   # E2.0   [1] (✌️)
270D FE0F     ; Basic_Emoji              ; writing hand                                                   # E2.0   [1] (✍️)
270F FE0F     ; Basic_Emoji              ; pencil                                                         # E2.0   [1] (✏️)
2712 FE0F     ; Basic_Emoji              ; black nib                                                      # E2.0   [1] (✒️)
2714 FE0F     ; Basic_Emoji              ; check mark                                                     # E2.0   [1] (✔️)
2716 FE0F     ; Basic_Emoji              ; multiplication sign                                            # E2.0   [1] (✖️)
271D FE0F     ; Basic_Emoji              ; latin cross                                                    # E2.0   [1] (✝️)
2721 FE0F     ; Basic_Emoji              ; star of David                                                  # E2.0   [1] (✡️)
2733 FE0F     ; Basic_Emoji              ; eight-spoked asterisk                                          # E2.0   [1] (✳️)
2734 FE0F     ; Basic_Emoji              ; eight-pointed star                                             # E2.0   [1] (✴️)
2744 FE0F     ; Basic_Emoji              ; snowflake                                                      # E2.0   [1] (❄️)
2747 FE0F     ; Basic_Emoji              ; sparkle                                                        # E2.0   [1] (❇️)
2763 FE0F     ; Basic_Emoji              ; heart exclamation                                              # E2.0   [1] (❣️)
2764 FE0F     ; Basic_Emoji              ; red heart                                                      # E2.0   [1] (❤️)
27A1 FE0F     ; Basic_Emoji              ; right arrow                                                    # E2.0   [1] (➡️)
2934 FE0F     ; Basic_Emoji              ; right arrow curving up                                         # E2.0   [1] (⤴️)
2935 FE0F     ; Basic_Emoji              ; right arrow curving down                                       # E2.0   [1] (⤵️)
2B05 FE0F     ; Basic_Emoji              ; left arrow                                                     # E2.0   [1] (⬅️)
2B06 FE0F     ; Basic_Emoji              ; up arrow                                                       # E2.0   [1] (⬆️)
2B07 FE0F     ; Basic_Emoji              ; down arrow                                                     # E2.0   [1] (⬇️)
3030 FE0F     ; Basic_Emoji              ; wavy dash                                                      # E2.0   [1] (〰️)
303D FE0F     ; Basic_Emoji              ; part alternation mark                                          # E2.0   [1] (〽️)
3297 FE0F     ; Basic_Emoji              ; Japanese “congratulations” button                              # E2.0   [1] (㊗️)
3299 FE0F     ; Basic_Emoji              ; Japanese “secret” button                                       # E2.0   [1] (㊙️)
1F170 FE0F    ; Basic_Emoji              ; A button (blood type)                                          # E2.0   [1] (🅰️)
1F171 FE0F    ; Basic_Emoji              ; B button (blood type)                                          # E2.0   [1] (🅱️)
1F17E FE0F    ; Basic_Emoji              ; O button (blood type)                                          # E2.0   [1] (🅾️)
1F17F FE0F    ; Basic_Emoji              ; P button                                                       # E2.0   [1] (🅿️)
1F202 FE0F    ; Basic_Emoji              ; Japanese “service charge” button                               # E2.0   [1] (🈂️)
1F237 FE0F    ; Basic_Emoji              ; Japanese “monthly amount” button                               # E2.0   [1] (🈷️)
1F321 FE0F    ; Basic_Emoji              ; thermometer                                                    # E2.0   [1] (🌡️)
1F324 FE0F    ; Basic_Emoji              ; sun behind small cloud                                         # E2.0   [1] (🌤️)
1F325 FE0F    ; Basic_Emoji              ; sun behind large cloud                                         # E2.0   [1] (🌥️)
1F326 FE0F    ; Basic_Emoji              ; sun behind rain cloud                                          # E2.0   [1] (🌦️)
1F327 FE0F    ; Basic_Emoji              ; cloud with rain                                                # E2.0   [1] (🌧️)
1F328 FE0F    ; Basic_Emoji              ; cloud with snow                                                # E2.0   [1] (🌨️)
1F329 FE0F    ; Basic_Emoji              ; cloud with lightning                                           # E2.0   [1] (🌩️)
1F32A FE0F    ; Basic_Emoji              ; tornado                                                        # E2.0   [1] (🌪️)
1F32B FE0F    ; Basic_Emoji              ; fog                                                            # E2.0   [1] (🌫️)
1F32C FE0F    ; Basic_Emoji              ; wind face                                                      # E2.0   [1] (🌬️)
1F336 FE0F    ; Basic_Emoji              ; hot pepper                                                     # E2.0   [1] (🌶️)
1F37D FE0F    ; Basic_Emoji              ; fork and knife with plate                                      # E2.0   [1] (🍽️)
1F396 FE0F    ; Basic_Emoji              ; military medal                                                 # E2.0   [1] (🎖️)
1F397 FE0F    ; Basic_Emoji              ; reminder ribbon                                                # E2.0   [1] (🎗️)
1F399 FE0F    ; Basic_Emoji              ; studio microphone                                              # E2.0   [1] (🎙️)
1F39A FE0F    ; Basic_Emoji              ; level slider                                                   # E2.0   [1] (🎚️)
1F39B FE0F    ; Basic_Emoji              ; control knobs                                                  # E2.0   [1] (🎛️)
1F39E FE0F    ; Basic_Emoji              ; film frames                                                    # E2.0   [1] (🎞️)
1F39F FE0F    ; Basic_Emoji              ; admission tickets                                              # E2.0   [1] (🎟️)
1F3CB FE0F    ; Basic_Emoji              ; person lifting weights                                         # E2.0   [1] (🏋️)
1F3CC FE0F    ; Basic_Emoji              ; person golfing                                                 # E2.0   [1] (🏌️)
1F3CD FE0F    ; Basic_Emoji              ; motorcycle                                                     # E2.0   [1] (🏍️)
1F3CE FE0F    ; Basic_Emoji              ; racing car                                                     # E2.0   [1] (🏎️)
1F3D4 FE0F    ; Basic_Emoji              ; snow-capped mountain                                           # E2.0   [1] (🏔️)
1F3D5 FE0F    ; Basic_Emoji              ; camping                                                        # E2.0   [1] (🏕️)
1F3D6 FE0F    ; Basic_Emoji              ; beach with umbrella                                            # E2.0   [1] (🏖️)
1F3D7 FE0F    ; Basic_Emoji              ; building construction                                          # E2.0   [1] (🏗️)
1F3D8 FE0F    ; Basic_Emoji              ; houses                                                         # E2.0   [1] (🏘️)
1F3D9 FE0F    ; Basic_Emoji              ; cityscape                                                      # E2.0   [1] (🏙️)
1F3DA FE0F    ; Basic_Emoji              ; derelict house                                                 # E2.0   [1] (🏚️)
1F3DB FE0F    ; Basic_Emoji              ; classical building                                             # E2.0   [1] (🏛️)
1F3DC FE0F    ; Basic_Emoji              ; desert                                                         # E2.0   [1] (🏜️)
1F3DD FE0F    ; Basic_Emoji              ; desert island                                                  # E2.0   [1] (🏝️)
1F3DE FE0F    ; Basic_Emoji              ; national park                                                  # E2.0   [1] (🏞️)
1F3DF FE0F    ; Basic_Emoji              ; stadium                                                        # E2.0   [1] (🏟️)
1F3F3 FE0F    ; Basic_Emoji              ; white flag                                                     # E2.0   [1] (🏳️)
1F3F5 FE0F    ; Basic_Emoji              ; rosette                                                        # E2.0   [1] (🏵️)
1F3F7 FE0F    ; Basic_Emoji              ; label                                                          # E2.0   [1] (🏷️)
1F43F FE0F    ; Basic_Emoji              ; chipmunk                                                       # E2.0   [1] (🐿️)
1F441 FE0F    ; Basic_Emoji              ; eye                                                            # E2.0   [1] (👁️)
1F4FD FE0F    ; Basic_Emoji              ; film projector                                                 # E2.0   [1] (📽️)
1F549 FE0F    ; Basic_Emoji              ; om                                                             # E2.0   [1] (🕉️)
1F54A FE0F    ; Basic_Emoji              ; dove                                                           # E2.0   [1] (🕊️)
1F56F FE0F    ; Basic_Emoji              ; candle                                                         # E2.0   [1] (🕯️)
1F570 FE0F    ; Basic_Emoji              ; mantelpiece clock                                              # E2.0   [1] (🕰️)
1F573 FE0F    ; Basic_Emoji              ; hole                                                           # E2.0   [1] (🕳️)
1F574 FE0F    ; Basic_Emoji              ; man in suit levitating                                         # E2.0   [1] (🕴️)
1F575 FE0F    ; Basic_Emoji              ; detective                                                      # E2.0   [1] (🕵️)
1F576 FE0F    ; Basic_Emoji              ; sunglasses                                                     # E2.0   [1] (🕶️)
1F577 FE0F    ; Basic_Emoji              ; spider                                                         # E2.0   [1] (🕷️)
1F578 FE0F    ; Basic_Emoji              ; spider web                                                     # E2.0   [1] (🕸️)
1F579 FE0F    ; Basic_Emoji              ; joystick                                                       # E2.0   [1] (🕹️)
1F587 FE0F    ; Basic_Emoji              ; linked paperclips                                              # E2.0   [1] (🖇️)
1F58A FE0F    ; Basic_Emoji              ; pen                                                            # E2.0   [1] (🖊️)
1F58B FE0F    ; Basic_Emoji              ; fountain pen                                                   # E2.0   [1] (🖋️)
1F58C FE0F    ; Basic_Emoji              ; paintbrush                                                     # E2.0   [1] (🖌️)
1F58D FE0F    ; Basic_Emoji              ; crayon                                                         # E2.0   [1] (🖍️)
